날짜,합계
2018-01-02,133
2018-01-03,97
2018-01-04,72
2018-01-05,112
2018-01-08,109
2018-01-09,117
2018-01-10,90
2018-01-11,101
2018-01-12,120
2018-01-15,126
2018-01-16,99
2018-01-17,114
2018-01-18,113
2018-01-19,116
2018-01-22,141
2018-01-23,107
2018-01-24,106
2018-01-25,86
2018-01-26,97
2018-01-29,150
2018-01-30,111
2018-01-31,116
2018-02-01,103
2018-02-02,109
2018-02-05,134
2018-02-06,129
2018-02-07,131
2018-02-08,122
2018-02-09,151
2018-02-12,146
2018-02-13,145
2018-02-14,143
2018-02-19,195
2018-02-20,179
2018-02-21,160
2018-02-22,122
2018-02-23,158
2018-02-26,183
2018-02-27,173
2018-02-28,159
2018-03-02,195
2018-03-05,170
2018-03-06,174
2018-03-07,151
2018-03-08,162
2018-03-09,165
2018-03-12,162
2018-03-13,159
2018-03-14,157
2018-03-15,142
2018-03-16,147
2018-03-19,190
2018-03-20,166
2018-03-21,175
2018-03-22,140
2018-03-23,153
2018-03-26,178
2018-03-27,126
2018-03-28,152
2018-03-29,119
2018-03-30,158
2018-04-02,168
2018-04-03,175
2018-04-04,173
2018-04-05,155
2018-04-06,149
2018-04-09,190
2018-04-10,198
2018-04-11,175
2018-04-12,133
2018-04-13,139
2018-04-16,201
2018-04-17,156
2018-04-18,163
2018-04-19,166
2018-04-20,184
2018-04-23,209
2018-04-24,169
2018-04-25,169
2018-04-26,169
2018-04-27,183
2018-04-30,223
